alpha,Year,Sl No.,University,City,State,Admission rate,Average SAT equivalent score of students admitted,Avg Cost of Attendance(academic year instituion),in-state tuition and fee,out-state tuition and fee,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)",Number of undergraduate student,Number of graduate student
228,2015,12,Johns Hopkins University,Baltimore,MD,0.1412,1453,63509,48710,48710,0.9369,6357,6357
229,2016,12,Johns Hopkins University,Baltimore,MD,0.1284,1460,65473,50410,50410,0.9244,5616,17875
230,2008,95,Lehigh University,Bethlehem,PA,0.2791,1315,20488,37550,37550,0.8504,4756,2118
231,2009,95,Lehigh University,Bethlehem,PA,0.3278,1300,49540,38630,38630,0.8621,4876,2187
232,2010,95,Lehigh University,Bethlehem,PA,0.3789,1304,50982,39780,39780,0.8776,4809,2270
233,2011,95,Lehigh University,Bethlehem,PA,0.3337,1313,52454,40960,40960,0.8692,4781,2186
234,2012,95,Lehigh University,Bethlehem,PA,0.3258,1306,53884,42220,42220,0.8833,4869,2197
235,2013,95,Lehigh University,Bethlehem,PA,0.3084,1322,55441,43520,43520,0.8584,4883,2165
236,2014,95,Lehigh University,Bethlehem,PA,0.3427,1326,57043,44890,44890,0.8739,4931,2057
237,2015,95,Lehigh University,Bethlehem,PA,0.3041,1338,58541,46230,46230,0.8755,5062,5062
238,2016,95,Lehigh University,Bethlehem,PA,0.2611,1142,60391,48320,48320,0.8882,5061,1979
239,2008,1,Massachusetts Institute of Technology,Cambridge,MA,0.1186,1464,51406,36390,36390,0.9355,4163,6146
240,2009,1,Massachusetts Institute of Technology,Cambridge,MA,0.107,1472,50100,37782,37782,0.9136,4153,6152
241,2010,1,Massachusetts Institute of Technology,Cambridge,MA,0.1008,1486,52000,39212,39212,0.9294,4232,6267
242,2011,1,Massachusetts Institute of Technology,Cambridge,MA,0.0973,1490,53210,40732,40732,0.9286,4299,6510
243,2012,1,Massachusetts Institute of Technology,Cambridge,MA,0.0895,1490,55270,42050,42050,0.9281,4384,6686
244,2013,1,Massachusetts Institute of Technology,Cambridge,MA,0.0815,1503,57010,43498,43498,0.9307,4503,6773
245,2015,1,Massachusetts Institute of Technology,Cambridge,MA,0.083,1507,61030,46704,46704,0.9193,4512,4512
246,2016,1,Massachusetts Institute of Technology,Cambridge,MA,0.0794,1476,63250,48452,48452,0.9276,4489,6852
247,2008,37,Michigan State University,East Lansing,MI,0.7003,1146,15127,10214,25672,0.7519,36072,8483
248,2009,37,Michigan State University,East Lansing,MI,0.7242,1144,19930,10880,27343,0.7698,36205,10781
249,2010,37,Michigan State University,East Lansing,MI,0.6998,1161,20695,11152,29108,0.7704,36290,11064
250,2011,37,Michigan State University,East Lansing,MI,0.7294,1160,21403,12202,31148,0.7709,35921,11268
251,2012,37,Michigan State University,East Lansing,MI,0.7056,1158,22946,12622,32580,0.7913,36557,11429
252,2013,37,Michigan State University,East Lansing,MI,0.6865,1158,23740,12862,33750,0.7736,37354,11332
253,2014,37,Michigan State University,East Lansing,MI,0.6609,1158,24323,13200,34965,0.7886,37985,11295
254,2015,37,Michigan State University,East Lansing,MI,0.6628,1159,24976,13560,36360,0.7717,38786,38786
255,2016,38,Michigan State University,East Lansing,MI,0.6574,1397,25809,14062,37890,0.7826,38851,11250
256,2008,18,New York University,New York,NY,0.3221,1342,49540,37372,37372,0.849,21327,17454
257,2009,18,New York University,New York,NY,0.378,1317,51153,38765,38765,0.8577,21269,21766
258,2010,18,New York University,New York,NY,0.381,1340,52952,40082,40082,0.8599,21638,21700
259,2011,18,New York University,New York,NY,0.327,1360,55412,41606,41606,0.8672,22097,21631
260,2012,18,New York University,New York,NY,0.3504,1342,57775,43204,43204,0.8493,22280,22018
261,2013,18,New York University,New York,NY,0.3239,1352,60059,44848,44848,0.8331,22498,21984
262,2014,18,New York University,New York,NY,0.3545,1344,61958,46170,46170,0.8301,24715,24289
263,2015,18,New York University,New York,NY,0.3207,1360,65405,47750,47750,0.8386,24985,24985
264,2016,18,New York University,New York,NY,0.3187,1458,67637,49062,49062,0.8465,25716,24415
265,2008,57,North Carolina State University at Raleigh,Raleigh,NC,0.6032,1158,25195,5286,17584,0.7089,24145,7819
266,2009,57,North Carolina State University at Raleigh,Raleigh,NC,0.5903,1171,16003,5475,17960,0.7292,24741,8564
267,2010,57,North Carolina State University at Raleigh,Raleigh,NC,0.5481,1177,16688,6529,19064,0.7166,25255,9129
268,2011,57,North Carolina State University at Raleigh,Raleigh,NC,0.5421,1181,18329,7018,19853,0.7156,25247,9591
269,2012,57,North Carolina State University at Raleigh,Raleigh,NC,0.5261,1181,19288,7788,20953,0.7062,25176,9507
270,2013,57,North Carolina State University at Raleigh,Raleigh,NC,0.5001,1229,20511,8206,21661,0.7359,24833,9473
271,2014,57,North Carolina State University at Raleigh,Raleigh,NC,0.516,1253,22046,8296,23551,0.7498,24536,9516
272,2015,57,North Carolina State University at Raleigh,Raleigh,NC,0.5043,1264,22767,8581,24932,0.7517,24473,24473
273,2016,58,North Carolina State University at Raleigh,Raleigh,NC,0.4751,1230,22226,8880,26399,0.7705,22390,9928
274,2008,63,Northeastern University,Boston,MA,0.3513,1269,52707,33721,33721,0.6995,17963,6683
275,2009,63,Northeastern University,Boston,MA,0.4101,1289,48217,35362,35362,0.7525,18530,8755
276,2010,63,Northeastern University,Boston,MA,0.3792,1313,50215,37142,37142,0.7668,18782,10084
277,2011,63,Northeastern University,Boston,MA,0.3453,1340,52117,38602,38602,0.7682,19435,10383
278,2012,63,Northeastern University,Boston,MA,0.3186,1366,54006,40086,40086,0.7856,16576,11054
279,2013,63,Northeastern University,Boston,MA,0.3231,1394,55914,41686,41686,0.8256,16640,6830
280,2014,63,Northeastern University,Boston,MA,0.3222,1420,57981,43440,43440,0.8162,13223,6288
281,2015,63,Northeastern University,Boston,MA,0.2848,1435,60179,45530,45530,0.8443,13510,13510
282,2016,64,Northeastern University,Boston,MA,0.2888,1201,62789,47653,47653,0.8617,13345,6908
283,2008,16,Northwestern University,Evanston,IL,0.2678,1431,52450,37125,37125,0.935,9261,8456
284,2009,16,Northwestern University,Evanston,IL,0.262,1427,52080,38463,38463,0.9516,9336,10298
285,2010,16,Northwestern University,Evanston,IL,0.2715,1434,53983,40223,40223,0.9436,9555,10946
286,2011,16,Northwestern University,Evanston,IL,0.2313,1438,56406,41983,41983,0.936,9535,11493
287,2012,16,Northwestern University,Evanston,IL,0.1803,1452,58829,43779,43779,0.9296,9466,11839
288,2013,16,Northwestern University,Evanston,IL,0.1532,1458,60729,45527,45527,0.9419,9376,12309
289,2014,16,Northwestern University,Evanston,IL,0.1311,1461,63028,47251,47251,0.9331,9283,12506
290,2015,16,Northwestern University,Evanston,IL,0.1304,1460,65436,49047,49047,0.9276,9048,9048
291,2016,16,Northwestern University,Evanston,IL,0.1066,1324,67887,50855,50855,0.9351,8563,13032
292,2008,27,Ohio State University-Main campus,Columbus,OH,0.623,1239,49803,8679,21918,0.7271,39209,13503
293,2009,27,Ohio State University-Main campus,Columbus,OH,0.6489,1239,22554,8679,22251,0.7493,40212,13666
294,2010,27,Ohio State University-Main campus,Columbus,OH,0.6192,1256,24159,9420,23604,0.7813,41348,13982
295,2011,27,Ohio State University-Main campus,Columbus,OH,0.6329,1260,25337,9735,24630,0.7991,42082,13951
296,2012,27,Ohio State University-Main campus,Columbus,OH,0.64,1262,26351,10037,25445,0.8243,42916,13329
297,2013,27,Ohio State University-Main campus,Columbus,OH,0.5553,1289,24524,10037,25757,0.8323,43058,13265
298,2014,27,Ohio State University-Main campus,Columbus,OH,0.5296,1292,25029,10037,26537,0.835,44201,13581
299,2015,27,Ohio State University-Main campus,Columbus,OH,0.4938,1295,25306,10037,27365,0.8316,44741,44741
300,2016,28,Ohio State University-Main campus,Columbus,OH,0.5411,1328,25173,10037,28229,0.8367,44762,13651
301,2008,87,Oregon State University,Corvallis,OR,0.8554,1070,18181,6187,18823,0.6198,16224,3632
302,2009,87,Oregon State University,Corvallis,OR,0.8414,1081,18181,6727,19651,0.6048,16673,3883
303,2010,87,Oregon State University,Corvallis,OR,0.8247,1081,18959,7115,20435,0.6022,18067,4196
304,2011,87,Oregon State University,Corvallis,OR,0.8111,1090,20459,7600,21316,0.6102,19557,4342
305,2012,87,Oregon State University,Corvallis,OR,0.7765,1095,21271,8138,22322,0.609,20620,4555
306,2013,87,Oregon State University,Corvallis,OR,0.7894,1102,22974,8322,23514,0.6147,21808,4745
307,2014,87,Oregon State University,Corvallis,OR,0.7776,1112,23326,9122,26294,0.6307,23157,4983
308,2015,87,Oregon State University,Corvallis,OR,0.7836,1113,24418,10107,28767,0.643,23903,23903
309,2016,87,Oregon State University,Corvallis,OR,0.7748,1216,26189,10366,28846,0.6333,24350,5027
310,2008,29,Pennsylvania State University-Main campus,University Park,PA,0.5096,1194,22606,13706,24940,0.8463,36815,6418
311,2009,29,Pennsylvania State University-Main campus,University Park,PA,0.5119,1201,26742,14416,25946,0.8467,37988,6555
312,2010,29,Pennsylvania State University-Main campus,University Park,PA,0.5162,1199,28520,15250,27114,0.853,38630,6639
313,2011,29,Pennsylvania State University-Main campus,University Park,PA,0.5479,1199,29684,15984,28066,0.8667,38594,6674
314,2012,29,Pennsylvania State University-Main campus,University Park,PA,0.5243,1200,31002,16444,28746,0.8557,38954,6591
315,2013,29,Pennsylvania State University-Main campus,University Park,PA,0.542,1199,31625,16992,29566,0.8484,39192,6530
316,2014,29,Pennsylvania State University-Main campus,University Park,PA,0.5029,1196,33326,17502,30452,0.8611,40085,6499
317,2015,29,Pennsylvania State University-Main campus,University Park,PA,0.5132,1202,34258,17514,31346,0.8566,40541,40541
318,2016,30,Pennsylvania State University-Main campus,University Park,PA,0.564,1472,34777,17900,32382,0.8553,40891,6430
319,2008,6,Princeton University,Princeton,NJ,0.0993,1478,49830,34290,34290,0.9605,4845,2452
320,2009,6,Princeton University,Princeton,NJ,0.1006,1482,49830,35340,35340,0.9673,4878,2479
321,2010,6,Princeton University,Princeton,NJ,0.088,1485,51260,36640,36640,0.9573,5029,2582
322,2011,6,Princeton University,Princeton,NJ,0.0846,1487,52715,37865,37865,0.9551,5142,2610
323,2012,6,Princeton University,Princeton,NJ,0.0785,1492,53934,39537,39537,0.9601,5203,2648
324,2013,6,Princeton University,Princeton,NJ,0.0741,1495,55430,40170,40170,0.9694,5327,2691
325,2014,6,Princeton University,Princeton,NJ,0.0744,1491,57400,41820,41820,0.9678,5323,2697
326,2015,6,Princeton University,Princeton,NJ,0.0714,1490,59665,43450,43450,0.9684,5391,5391
327,2016,6,Princeton University,Princeton,NJ,0.0652,1436,61860,45320,45320,0.9748,5236,2781
328,2008,31,Purdue University-Main campus,West Lafayette,IN,0.7152,1163,17276,7750,23224,0.7177,32610,7426
329,2009,31,Purdue University-Main campus,West Lafayette,IN,0.7315,1169,18303,8638,25118,0.6948,33105,8552
330,2010,31,Purdue University-Main campus,West Lafayette,IN,0.6511,1173,20322,9070,26622,0.6833,32500,8890
331,2011,31,Purdue University-Main campus,West Lafayette,IN,0.6836,1191,21549,9478,27646,0.6795,32173,8861
332,2012,31,Purdue University-Main campus,West Lafayette,IN,0.6145,1199,22481,9900,28702,0.6945,31988,9109
333,2013,31,Purdue University-Main campus,West Lafayette,IN,0.6042,1211,23109,9992,28794,0.6994,31284,9348
334,2014,31,Purdue University-Main campus,West Lafayette,IN,0.5929,1213,22879,10002,28804,0.7295,30446,9515
335,2015,31,Purdue University-Main campus,West Lafayette,IN,0.5897,1231,22581,10002,28804,0.7462,30237,30237
336,2016,31,Purdue University-Main campus,West Lafayette,IN,0.5597,1218,22698,10002,28804,0.7632,30849,10408
337,2008,67,Rensselaer Polytechnic Institute,Troy,NY,0.4411,1298,21647,37990,37990,0.8252,5164,1383
338,2009,67,Rensselaer Polytechnic Institute,Troy,NY,0.4225,1333,50535,39165,39165,0.8225,5367,1272
339,2010,67,Rensselaer Polytechnic Institute,Troy,NY,0.3996,1334,52160,40680,40680,0.823,5629,1273
340,2011,67,Rensselaer Polytechnic Institute,Troy,NY,0.3963,1344,54035,42704,42704,0.8382,5348,1217
341,2012,67,Rensselaer Polytechnic Institute,Troy,NY,0.4358,1342,57179,44475,44475,0.8448,5240,1267
342,2013,67,Rensselaer Polytechnic Institute,Troy,NY,0.412,1366,59470,46269,46269,0.8494,5300,1262
343,2014,67,Rensselaer Polytechnic Institute,Troy,NY,0.375,1372,61820,47908,47908,0.8214,5379,1217
344,2015,67,Rensselaer Polytechnic Institute,Troy,NY,0.4187,1368,64198,49341,49341,0.8123,5557,5557
345,2016,67,Rensselaer Polytechnic Institute,Troy,NY,0.4435,1116,66172,50797,50797,0.8299,6200,1098
346,2008,26,Rice University,Houston,TX,0.2298,1425,43586,30486,30486,0.9314,3017,2237
347,2009,26,Rice University,Houston,TX,0.2233,1425,43586,32057,32057,0.9344,3120,2277
348,2010,26,Rice University,Houston,TX,0.2129,1435,45637,33771,33771,0.9159,3299,2350
349,2011,26,Rice University,Houston,TX,0.1882,1428,47871,35551,35551,0.9155,3529,2469
350,2012,26,Rice University,Houston,TX,0.1671,1437,50171,37292,37292,0.9243,3755,2636
351,2013,26,Rice University,Houston,TX,0.1674,1454,52242,38941,38941,0.9111,3848,2663
352,2014,26,Rice University,Houston,TX,0.151,1460,54291,40566,40566,0.9279,3965,2695
353,2015,26,Rice University,Houston,TX,0.1596,1482,56316,42253,42253,0.9053,3926,3926
354,2016,27,Rice University,Houston,TX,0.1527,1296,58253,43918,43918,0.9311,3879,2962
355,2008,58,Rutgers University-New Brunswick,New Brunswick,NJ,0.5577,1185,16758,11540,21488,0.746,26829,7538
356,2009,58,Rutgers University-New Brunswick,New Brunswick,NJ,0.6148,1185,25195,11886,23058,0.7678,28031,8271
357,2010,58,Rutgers University-New Brunswick,New Brunswick,NJ,0.5908,1190,26338,12582,24044,0.7696,29095,8561
358,2011,58,Rutgers University-New Brunswick,New Brunswick,NJ,0.6114,1195,26511,12754,25416,0.7742,30351,8682
359,2012,58,Rutgers University-New Brunswick,New Brunswick,NJ,0.6089,1195,27274,13073,26393,0.7931,31268,8841
360,2013,58,Rutgers University-New Brunswick,New Brunswick,NJ,0.5951,1210,28011,13499,27523,0.7969,31593,14135
361,2014,58,Rutgers University-New Brunswick,New Brunswick,NJ,0.605,1215,28766,13813,28591,0.8068,34983,13834
362,2015,58,Rutgers University-New Brunswick,New Brunswick,NJ,0.5845,1225,29076,14131,29521,0.8045,36016,36016
363,2016,59,Rutgers University-New Brunswick,New Brunswick,NJ,0.5694,1075,29388,14372,30023,0.8006,35782,13978
364,2008,2,Stanford University,Stanford,CA,0.0949,1432,51760,36798,36798,0.9444,6759,10280
365,2009,2,Stanford University,Stanford,CA,0.0797,1436,51760,38676,38676,0.9488,6815,11896
366,2010,2,Stanford University,Stanford,CA,0.0731,1452,54009,40172,40172,0.9471,6879,12595
367,2011,2,Stanford University,Stanford,CA,0.071,1446,55918,41564,41564,0.9614,6889,12957
368,2012,2,Stanford University,Stanford,CA,0.0661,1465,57755,42225,42225,0.952,6927,11456
369,2013,2,Stanford University,Stanford,CA,0.0569,1466,58408,43683,43683,0.9576,6999,11072
370,2015,2,Stanford University,Stanford,CA,0.0504,1479,62363,46320,46320,0.9385,7018,7018
371,2016,2,Stanford University,Stanford,CA,0.0481,1506,64477,47940,47940,0.939,7032,10150
372,2008,69,Stony Brook University,Stony Brook,NY,0.4334,1181,15395,5810,12070,0.6136,15519,7440
373,2009,69,Stony Brook University,Stony Brook,NY,0.3992,1193,17561,6488,14388,0.6708,15921,8297
374,2010,69,Stony Brook University,Stony Brook,NY,0.4096,1213,18319,6580,14990,0.6516,16384,8237
375,2011,69,Stony Brook University,Stony Brook,NY,0.3915,1229,18807,6994,16444,0.6727,16126,8135
376,2012,69,Stony Brook University,Stony Brook,NY,0.4006,1233,19701,7560,18180,0.6968,15785,8109
377,2013,69,Stony Brook University,Stony Brook,NY,0.3948,1253,20704,7995,19935,0.6593,15837,8151
378,2014,69,Stony Brook University,Stony Brook,NY,0.4134,1254,21358,8430,21850,0.6857,15992,8127
379,2015,69,Stony Brook University,Stony Brook,NY,0.4099,1271,22000,8855,23935,0.6834,16480,16480
380,2016,70,Stony Brook University,Stony Brook,NY,0.4067,1185,22988,8999,26239,0.7237,16863,8708
381,2008,48,Texas A & M University-College Station,College Station,TX,0.7009,1189,20230,7844,22184,0.7825,37357,9609
382,2009,48,Texas A & M University-College Station,College Station,TX,0.6691,1199,19841,8176,22606,0.7973,38430,9893
383,2010,48,Texas A & M University-College Station,College Station,TX,0.6864,1218,20261,8387,22817,0.7988,38809,9981
384,2011,48,Texas A & M University-College Station,College Station,TX,0.6344,1215,20457,8421,23811,0.8069,39148,10363
385,2012,48,Texas A & M University-College Station,College Station,TX,0.6688,1205,20669,8506,25035,0.796,39867,10524
386,2013,48,Texas A & M University-College Station,College Station,TX,0.6947,1182,20819,8506,25126,0.7908,42011,11625
387,2014,48,Texas A & M University-College Station,College Station,TX,0.7103,1206,20998,9685,26583,0.7934,43930,14549
388,2015,48,Texas A & M University-College Station,College Station,TX,0.6664,1212,22893,10176,28768,0.7889,46937,46937
389,2016,49,Texas A & M University-College Station,College Station,TX,0.6717,1081,24682,11036,31214,0.8022,50416,14897
390,2008,98,The New School,New York,NY,0.5125,1110,20526,33700,33700,0.6165,6622,3450
391,2009,98,The New School,New York,NY,0.6214,1090,49803,36000,36000,0.6575,6375,3554
392,2010,98,The New School,New York,NY,0.6308,1103,51482,36729,36729,0.638,6706,3708
393,2011,98,The New School,New York,NY,0.6925,1125,53003,38198,38198,0.6046,6970,3716
394,2012,98,The New School,New York,NY,0.653,1114,54624,39368,39368,0.6387,7081,3565
395,2013,98,The New School,New York,NY,0.6659,1131,57202,40426,40426,0.6336,6799,3524
396,2014,98,The New School,New York,NY,0.659,1117,57945,41870,41870,0.5974,6777,3537
397,2015,98,The New School,New York,NY,0.6662,1450,60109,43813,43813,0.6461,6940,6940
398,2016,99,The New School,New York,NY,0.6009,1216,62175,45440,45440,0.6775,7007,3195
399,2008,78,The University of Tennessee-Knoxville,Knoxville,TN,0.7124,1164,25875,6250,19208,0.5979,21369,8693
400,2009,78,The University of Tennessee-Knoxville,Knoxville,TN,0.7268,1196,19618,6850,22168,0.6057,21717,8752
401,2010,78,The University of Tennessee-Knoxville,Knoxville,TN,0.7449,1198,20780,7382,22720,0.604,21182,8908
402,2011,78,The University of Tennessee-Knoxville,Knoxville,TN,0.6969,1198,22061,8396,25538,0.6316,21392,8980
403,2012,78,The University of Tennessee-Knoxville,Knoxville,TN,0.6732,1200,23571,9092,27582,0.6607,21214,8917
404,2013,78,The University of Tennessee-Knoxville,Knoxville,TN,0.7249,1199,24746,11194,29684,0.6754,20916,8848
405,2014,78,The University of Tennessee-Knoxville,Knoxville,TN,0.7483,1198,27450,11876,30326,0.6931,21182,8722
406,2015,78,The University of Tennessee-Knoxville,Knoxville,TN,0.763,1214,29420,12436,30856,0.7034,21451,21451
407,2016,79,The University of Tennessee-Knoxville,Knoxville,TN,0.7722,1275,29626,12724,31144,0.6883,21984,5913
408,2008,22,The University of Texas at Austin,Austin,TX,0.4353,1225,49950,8532,27760,0.7779,37459,12595
409,2009,22,The University of Texas at Austin,Austin,TX,0.4532,1225,21647,8936,29906,0.8067,37389,12827
410,2010,22,The University of Texas at Austin,Austin,TX,0.4701,1243,22670,9416,31266,0.8026,38168,12775
411,2011,22,The University of Texas at Austin,Austin,TX,0.4656,1256,23839,9794,32506,0.8089,38420,12675
412,2012,22,The University of Texas at Austin,Austin,TX,0.4675,1259,24525,9790,33128,0.7867,38437,12231
413,2013,22,The University of Texas at Austin,Austin,TX,0.4019,1262,25176,9798,33842,0.7944,39955,12080
414,2014,22,The University of Texas at Austin,Austin,TX,0.3966,1296,25918,9830,34836,0.8064,39979,11790
415,2015,22,The University of Texas at Austin,Austin,TX,0.3924,1297,26119,9806,34676,0.7965,39523,39523
416,2016,22,The University of Texas at Austin,Austin,TX,0.4037,1380,26098,10092,35682,0.8122,39676,11163
417,2008,80,The University of Texas at Dallas,Richardson,TX,0.5351,1246,16684,9050,18000,0.5903,9266,5520
418,2009,80,The University of Texas at Dallas,Richardson,TX,0.5167,1218,21248,9510,20340,0.6309,9393,5982
419,2010,80,The University of Texas at Dallas,Richardson,TX,0.4989,1248,19574,9886,22170,0.6315,9801,6485
420,2011,80,The University of Texas at Dallas,Richardson,TX,0.5336,1248,20743,10276,24166,0.6078,10648,7104
421,2012,80,The University of Texas at Dallas,Richardson,TX,0.5196,1279,21430,10666,25084,0.6382,11760,7698
422,2013,80,The University of Texas at Dallas,Richardson,TX,0.5857,1262,22381,10864,26038,0.6291,12029,8144
423,2014,80,The University of Texas at Dallas,Richardson,TX,0.6194,1259,22713,10864,26894,0.7064,13049,8795
424,2015,80,The University of Texas at Dallas,Richardson,TX,0.6148,1265,23133,10864,26894,0.6643,14300,14300
425,2016,80,The University of Texas at Dallas,Richardson,TX,0.6799,1377,23211,11192,28808,0.6746,17339,9443
426,2008,53,Tufts University,Medford,MA,0.2547,1420,52080,38840,38840,0.9185,5035,3251
427,2009,53,Tufts University,Medford,MA,0.2656,1450,51400,40342,40342,0.9079,5044,5088
428,2010,53,Tufts University,Medford,MA,0.2434,1418,53130,41598,41598,0.9112,5161,5256
429,2011,53,Tufts University,Medford,MA,0.2186,1420,55000,42962,42962,0.9025,5224,5583
430,2012,53,Tufts University,Medford,MA,0.2139,1422,56600,44666,44666,0.9227,5194,5582
431,2013,53,Tufts University,Medford,MA,0.1884,1428,58752,46598,46598,0.9219,5255,5692
432,2014,53,Tufts University,Medford,MA,0.1724,1423,61000,48643,48643,0.923,5180,5730
433,2015,53,Tufts University,Medford,MA,0.161,1424,63358,50604,50604,0.9347,5177,5177
434,2016,54,Tufts University,Medford,MA,0.1429,1323,65814,52430,52430,0.9208,5459,5981
435,2008,77,Tulane University of Louisiana,New Orleans,LA,0.2698,1332,51478,38664,38664,0.7438,6449,2629
436,2009,77,Tulane University of Louisiana,New Orleans,LA,0.2647,1320,50030,40584,40584,0.7342,6692,4304
437,2010,77,Tulane University of Louisiana,New Orleans,LA,0.2598,1337,52240,41884,41884,0.6981,7160,4390
438,2011,77,Tulane University of Louisiana,New Orleans,LA,0.2495,1342,53860,43434,43434,0.6953,7754,4574
439,2012,77,Tulane University of Louisiana,New Orleans,LA,0.2727,1350,56484,45240,45240,0.7526,8271,4601
440,2013,77,Tulane University of Louisiana,New Orleans,LA,0.2643,1341,58904,46930,46930,0.7602,8357,4648
441,2014,77,Tulane University of Louisiana,New Orleans,LA,0.2795,1342,61055,48305,48305,0.8293,8290,4711
442,2015,77,Tulane University of Louisiana,New Orleans,LA,0.305,1346,62856,49638,49638,0.832,7892,7892
443,2016,78,Tulane University of Louisiana,New Orleans,LA,0.255,1213,64926,51010,51010,0.833,7924,4657
444,2008,61,University at Buffalo,Buffalo,NY,0.5166,1149,26742,6285,12545,0.6197,18779,7146
445,2009,61,University at Buffalo,Buffalo,NY,0.519,1149,16684,7013,14913,0.6321,18760,9513
446,2010,61,University at Buffalo,Buffalo,NY,0.5139,1158,17960,7136,15546,0.6659,19149,9720
447,2011,61,University at Buffalo,Buffalo,NY,0.5139,1158,18531,7482,16932,0.7113,19397,9515
448,2012,61,University at Buffalo,Buffalo,NY,0.5686,1162,19870,7989,18609,0.7027,19346,9438
449,2013,61,University at Buffalo,Buffalo,NY,0.5652,1158,20885,8211,20151,0.72,19677,10019
