University,Year,f1,f2,f3,f4,f5,f6,f7,f8,General_Rank
Columbia University in the city of New York,1/1/08,5,86,73,96,96,82,31,91,9
Columbia University in the city of New York,1/1/09,6,90,87,97,97,84,31,93,8
Columbia University in the city of New York,1/1/10,6,90,94,98,98,82,30,94,8
Columbia University in the city of New York,1/1/11,6,91,96,98,98,82,30,96,4
Columbia University in the city of New York,1/1/12,3,91,97,98,98,91,29,96,4
Columbia University in the city of New York,1/1/13,5,89,97,99,99,87,29,97,4
Columbia University in the city of New York,1/1/14,3,86,96,97,97,87,27,95,4
Columbia University in the city of New York,1/1/15,3,86,98,99,99,93,30,30,4
Columbia University in the city of New York,1/1/16,5,91,98,99,99,88,31,97,4
Iowa State University,1/1/08,97,15,23,17,10,27,66,34,85
Iowa State University,1/1/09,96,17,16,10,8,29,69,32,89
Iowa State University,1/1/10,96,15,13,10,7,29,72,32,88
Iowa State University,1/1/11,91,14,11,10,6,21,72,28,94
Iowa State University,1/1/12,97,15,3,8,5,29,74,27,94
Iowa State University,1/1/13,96,16,3,6,5,22,76,28,101
Iowa State University,1/1/14,96,13,2,5,2,20,80,30,101
Iowa State University,1/1/15,98,11,2,5,2,21,83,83,106
Iowa State University,1/1/16,98,1,3,5,2,27,84,30,108
Northeastern University,1/1/08,33,55,97,62,62,30,56,57,96
Northeastern University,1/1/09,39,58,63,64,64,38,56,64,96
Northeastern University,1/1/10,34,62,64,65,65,36,57,72,80
Northeastern University,1/1/11,35,63,63,65,65,36,58,76,69
Northeastern University,1/1/12,30,71,64,66,66,37,48,78,62
Northeastern University,1/1/13,32,75,66,66,66,51,49,48,56
Northeastern University,1/1/14,28,74,67,66,66,48,40,40,49
Northeastern University,1/1/15,28,76,66,68,68,53,41,41,42
Northeastern University,1/1/16,32,23,67,69,69,60,42,45,47
Princeton University,1/1/08,4,95,70,64,64,96,12,15,1
Princeton University,1/1/09,4,96,70,63,63,96,12,12,2
Princeton University,1/1/10,4,95,66,63,63,95,12,13,1
Princeton University,1/1/11,4,93,66,63,63,92,12,13,2
Princeton University,1/1/12,5,94,63,63,63,96,13,13,1
Princeton University,1/1/13,4,92,63,63,62,97,14,13,1
Princeton University,1/1/14,4,89,64,62,60,96,12,13,1
Princeton University,1/1/15,5,89,64,61,59,98,13,13,1
Princeton University,1/1/16,4,80,65,62,60,98,12,12,1
University of Colorado Boulder,1/1/08,88,30,17,20,43,24,82,38,79
University of Colorado Boulder,1/1/09,92,36,42,20,43,22,82,35,77
University of Colorado Boulder,1/1/10,90,21,42,20,43,20,82,35,77
University of Colorado Boulder,1/1/11,96,21,41,19,42,24,80,36,86
University of Colorado Boulder,1/1/12,94,21,41,19,41,20,79,35,94
University of Colorado Boulder,1/1/13,97,26,43,26,42,25,79,35,97
University of Colorado Boulder,1/1/14,94,29,44,26,41,23,75,35,86
University of Colorado Boulder,1/1/15,89,28,45,26,42,22,76,76,88
University of Colorado Boulder,1/1/16,88,66,47,27,42,20,75,36,89